agent_ms_1,agent_ms_2,agent_ms_3,agent_ms_4,agent_ms_5,agent_ms_6,agent_ms_7,agent_ms_8
0.672,0.752,1.467,3.357,2.199,3.274,4.476,2.767
1.158,0.956,1.395,2.36,2.181,5.462,5.861,2.802
0.827,0.975,1.503,2.343,3.007,3.29,6.419,1.861
0.708,0.92,1.586,2.341,1.391,5.211,2.444,1.784
0.518,0.965,1.477,2.299,1.568,3.256,2.472,3.262
1.179,2.839,1.424,2.394,3.086,5.345,3.268,1.743
0.677,0.786,1.616,2.347,1.401,3.329,3.559,1.805
0.791,0.969,1.433,2.338,1.385,4.823,2.222,1.841
0.815,0.993,1.39,2.658,1.628,3.874,3.925,8.033
0.519,0.967,1.397,2.426,1.44,2.235,2.142,4.079
0.642,0.993,1.509,2.279,1.387,5.028,2.245,2.522
0.688,0.705,1.435,2.368,3.38,2.991,5.155,2.59
1.221,0.95,1.406,2.369,5.66,3.027,2.184,4.845
0.831,0.983,1.434,2.357,2.123,3.401,2.205,4.871
0.629,0.94,1.425,4.516,3.325,5.102,2.245,5.354
0.756,0.929,1.451,2.389,2.497,3.046,2.23,2.707
1.216,0.976,3.504,2.358,5.753,3.057,4.393,5.03
0.678,0.725,1.417,4.407,1.334,3.033,4.458,4.893
0.739,0.958,1.424,3.163,1.381,5.081,2.711,3.261
3.887,0.965,1.438,1.413,1.536,3.074,2.826,3.342
0.699,0.948,1.489,1.477,3.423,2.828,3.062,10.197
0.629,0.921,3.295,1.435,2.105,8.766,5.125,2.745
1.218,0.738,1.378,3.034,2.035,3.256,8.175,5.07
0.704,0.96,1.447,1.427,3.713,5.755,3.432,4.048
1.181,0.961,1.571,1.402,3.74,1.78,5.047,7.232
1.208,1.222,1.492,6.184,3.683,1.834,3.234,10.644
1.016,0.959,1.466,1.935,2.225,4.265,5.86,1.878
0.676,0.726,1.559,1.897,4.423,4.243,5.745,1.72
1.485,0.926,1.427,1.902,1.882,4.701,3.438,1.769
1.197,0.972,1.184,1.941,2.399,2.916,3.483,1.985
0.692,0.944,1.429,1.94,4.108,8.623,3.261,1.843
0.514,0.987,1.395,1.914,2.432,2.646,3.464,1.851
1.199,0.98,1.466,1.864,3.838,2.661,2.024,1.853
1.198,4.242,1.159,2.062,1.937,3.086,2.145,1.931
0.786,0.771,1.511,3.601,1.69,5.271,2.163,2.179
0.664,0.912,1.418,2.354,3.218,2.514,1.971,1.81
0.52,0.901,1.191,2.458,2.129,2.921,2.16,1.855
1.19,0.885,1.382,2.32,3.454,2.698,2.071,1.864
0.841,2.597,3.277,2.31,3.66,2.636,5.438,1.896
0.671,0.76,1.187,2.378,2.275,2.633,6.405,3.617
0.792,0.893,1.459,1.519,2.383,2.709,3.545,3.709
3.481,0.874,1.644,2.31,2.192,2.64,2.111,2.164
0.747,1.027,1.501,2.133,3.583,2.664,1.99,3.971
0.675,2.663,3.53,2.079,1.912,2.64,2.135,6.768
0.692,0.746,1.655,3.956,2.137,2.633,2.008,3.995
0.773,0.899,1.439,2.112,2.077,2.67,3.72,3.96
0.663,0.973,1.282,2.101,2.066,2.65,2.06,3.574
