ticks-1-60sec,event-beat-b-or-agent-n
167101679,a7
167101679,a8
167101683,a5
167101685,a6
167101691,a3
167101695,a4
167101696,a1
167101697,a2
167101699,a7
167101700,init
167101700,b
167101700,a2
167101700,a3
167101700,a5
167101700,a6
167101700,a7
167101700,a8
167101706,a6
167101709,a4
167101709,a2
167101713,a8
167101716,a7
167101722,a8
167101723,a2
167101723,a3
167101723,a4
167101723,a5
167101723,a6
167101723,a7
167101723,a8
167101725,a8
167101725,a5
167101730,a6
167101731,a5
167101737,a7
167101740,a3
167101740,a8
167101745,b
167101745,a2
167101746,a3
167101746,a4
167101746,a5
167101746,a6
167101746,a7
167101746,a8
167101750,a3
167101752,a6
167101755,a4
167101755,a3
167101756,a7
167101758,a2
167101758,a1
167101759,a5
167101760,a2
167101768,a1
167101768,a2
167101768,a3
167101768,a4
167101768,a5
167101768,a6
167101768,a7
167101768,a8
167101775,a5
167101775,a7
167101775,a1
167101776,a6
167101782,a8
167101784,a4
167101787,a3
167101788,a4
167101789,a8
167101790,b
167101791,a1
167101791,a2
167101791,a3
167101791,a4
167101791,a4
167101791,a5
167101791,a7
167101791,a8
167101804,a4
167101806,a5
167101807,a7
167101808,a8
167101809,a2
167101811,a4
167101813,a2
167101813,a3
167101813,a5
167101813,a7
167101813,a8
167101815,a3
167101823,a3
167101824,a2
167101828,a7
167101828,a5
167101835,b
167101836,a1
167101836,a2
167101836,a3
167101836,a4
167101836,a5
167101836,a6
167101836,a7
167101836,a8
167101837,a8
167101841,a5
167101844,a3
167101844,a6
167101844,a7
167101845,a4
167101847,a2
167101849,a8
167101850,a8
167101858,a2
167101858,a3
167101858,a4
167101858,a6
167101858,a7
167101858,a8
167101867,a6
167101871,a2
167101871,a1
167101872,a1
167101876,a1
167101880,init
167101880,b
167101880,a1
167101880,a2
167101880,a3
167101880,a4
167101880,a5
167101880,a6
167101880,a7
167101880,a8
167101886,a4
167101888,a7
167101890,a6
167101892,a4
167101896,a5
167101898,a3
167101900,a3
167101903,a2
167101903,a3
167101903,a5
167101903,a6
167101903,a7
167101903,a8
167101904,a2
167101912,a5
167101913,a7
167101913,a6
167101915,a2
167101915,a3
167101918,a2
167101926,b
167101926,a1
167101926,a2
167101926,a3
167101926,a4
167101926,a6
167101926,a7
167101929,a8
167101932,a3
167101933,a6
167101934,a7
167101940,a8
167101943,a8
167101948,a2
167101948,a3
167101948,a4
167101948,a5
167101948,a6
167101948,a7
167101948,a8
167101950,a7
167101953,a2
167101955,a6
167101955,a3
167101956,a4
167101957,a7
167101959,a4
167101961,a1
167101969,a5
167101971,b
167101971,a2
167101971,a3
167101971,a3
167101971,a5
167101971,a6
167101971,a7
167101971,a7
167101971,a8
167101976,a8
167101978,a6
167101980,a3
167101980,a3
167101980,a7
167101980,a7
167101981,a5
167101989,a2
167101993,a2
167101993,a3
167101993,a4
167101993,a5
167101993,a6
167101993,a7
167101993,a8
167102005,a2
167102006,a5
167102006,a1
167102010,a3
167102015,b
167102015,a2
167102015,a3
167102015,a4
167102015,a5
167102015,a6
167102015,a7
167102015,a8
167102019,a6
167102022,a5
167102025,a6
167102028,a2
167102028,a2
167102029,a8
167102029,a7
167102037,a3
167102039,a1
167102039,a3
167102039,a4
167102039,a5
167102039,a6
167102039,a7
167102039,a8
167102039,a7
167102047,a7
167102052,a6
167102052,a8
167102053,a5
167102058,a8
167102058,a4
167102059,a3
167102060,init
167102060,b
167102060,a2
167102060,a3
167102060,a5
167102060,a6
167102060,a7
167102060,a8
167102064,a4
167102067,a1
167102069,a4
167102071,a7
167102073,a1
167102075,a5
167102081,a3
167102083,a1
167102083,a2
167102083,a3
167102083,a4
167102083,a5
167102083,a6
167102083,a7
167102083,a8
167102083,a8
167102085,a6
167102088,a5
167102090,a6
167102091,a2
167102092,a4
167102102,a2
167102104,a8
167102105,a3
167102105,a8
167102105,b
167102106,a2
167102106,a3
167102106,a4
167102106,a5
167102106,a7
167102106,a8
167102114,a2
167102119,a5
167102121,a4
167102128,a2
167102128,a3
167102128,a4
167102128,a5
167102128,a6
167102128,a7
167102128,a7
167102128,a8
167102138,a6
167102138,a3
167102141,a2
167102145,a7
167102150,a7
167102150,b
167102151,a1
167102151,a3
167102151,a4
167102151,a5
167102151,a7
167102151,a8
167102151,a8
167102161,a4
167102165,a8
167102165,a8
167102166,a7
167102170,a8
167102172,a1
167102172,a5
167102172,a5
167102173,a8
167102173,a2
167102173,a3
167102173,a4
167102173,a5
167102173,a6
167102173,a7
167102173,a8
167102176,a8
167102178,a8
167102179,a5
167102179,a7
167102182,a6
167102183,a3
167102183,a4
167102185,a1
167102192,a7
167102196,b
167102196,a2
167102196,a3
167102196,a4
167102196,a5
167102196,a6
167102196,a7
167102196,a8
167102197,a7
167102198,a3
167102200,a3
167102201,a8
167102202,a5
167102206,a3
167102209,a6
167102212,a4
167102216,a7
167102218,a2
167102218,a3
167102218,a4
167102218,a5
167102218,a6
167102218,a7
167102218,a8
167102218,a2
167102223,a2
167102224,a2
167102226,a6
167102228,a3
167102233,a5
167102233,a7
167102238,a4
167102241,init
167102241,b
167102241,a1
167102241,a2
167102241,a3
167102241,a4
167102241,a5
167102241,a6
167102241,a7
167102241,a8
167102249,a8
167102252,a6
167102259,a3
167102259,a2
167102261,a4
167102261,a5
167102263,a2
167102263,a3
167102263,a4
167102263,a5
167102263,a6
167102263,a7
167102263,a8
167102267,a8
167102268,a4
167102271,a5
167102273,a7
167102276,a3
167102278,a6
167102282,a8
167102285,b
167102286,a1
167102286,a2
167102286,a3
167102286,a4
167102286,a4
167102286,a5
167102286,a6
167102286,a7
167102286,a8
167102286,a4
167102289,a8
167102292,a2
167102294,a6
167102304,a3
167102308,a2
167102308,a3
167102308,a4
167102308,a5
167102308,a6
167102308,a7
167102308,a8
167102310,a4
167102310,a4
167102311,a7
167102312,a2
167102320,a6
167102321,a5
167102321,a1
167102324,a2
167102328,a5
167102329,a7
167102330,b
167102330,a2
167102330,a2
167102330,a3
167102330,a4
167102330,a5
167102330,a7
167102330,a8
167102333,a3
167102335,a8
167102336,a5
167102338,a3
167102339,a4
167102345,a7
167102352,a8
167102353,a2
167102353,a3
167102353,a5
167102353,a6
167102353,a7
167102353,a8
167102354,a2
167102358,a2
167102363,a3
167102364,a6
167102365,a7
167102365,a5
167102368,a7
167102370,a8
167102373,a4
167102375,b
167102375,a1
167102375,a2
167102375,a3
167102375,a4
167102375,a5
167102375,a6
167102375,a7
167102375,a8
167102381,a6
167102381,a7
167102382,a2
167102391,a2
167102397,a4
167102398,a2
167102398,a3
167102398,a3
167102398,a4
167102398,a4
167102398,a5
167102398,a6
167102398,a7
167102398,a8
167102399,a8
167102400,a3
167102400,a5
167102405,a6
167102406,a1
167102414,a2
167102415,a4
167102415,a4
167102419,a5
167102421,init
167102421,b
167102421,a2
167102421,a3
167102421,a4
167102421,a5
167102421,a6
167102421,a7
167102421,a7
167102421,a8
167102423,a3
167102423,a3
167102428,a5
167102429,a6
167102432,a7
167102433,a3
167102441,a8
167102442,a7
167102442,a7
167102443,a1
167102443,a2
167102443,a3
167102443,a4
